ID	RA	Dec	Nobs	obs_dates
UW252	15.111946	5.50036	0	[]
UW253	15.277375	5.50036	0	[]
UW254	15.442803	5.50036	0	[]
UW255	15.608231	5.50036	0	[]
UW256	15.773660000000001	5.50036	0	[]
UW257	15.939088	5.50036	0	[]
UW258	16.104516	5.50036	0	[]
UW259	16.269945	5.50036	0	[]
UW260	16.435373000000002	5.50036	0	[]
UW261	7.776663	7.30536	117	['2021-02-08']
UW262	7.942678	7.30536	0	[]
UW263	8.108692	7.30536	0	[]
UW264	8.274706	7.30536	0	[]
UW265	8.440721	7.30536	0	[]
UW266	8.606735	7.30536	0	[]
UW267	8.772749000000001	7.30536	0	[]
UW268	8.938763	7.30536	0	[]
UW269	9.104778	7.30536	0	[]
UW270	9.270792	7.30536	0	[]
UW271	9.436805999999999	7.30536	0	[]
UW272	9.60282	7.30536	0	[]
UW273	9.768835000000001	7.30536	0	[]
UW274	9.934849	7.30536	0	[]
UW275	10.100863	7.30536	0	[]
UW276	10.266878	7.30536	0	[]
UW277	10.432891999999999	7.30536	0	[]
UW278	10.598906	7.30536	0	[]
UW279	10.76492	7.30536	0	[]
UW280	10.930935	7.30536	0	[]
UW281	11.096949	7.30536	0	[]
UW282	11.262963000000001	7.30536	0	[]
UW283	11.428978	7.30536	0	[]
UW284	11.594992	7.30536	0	[]
UW285	11.761006	7.30536	0	[]
UW286	11.927019999999999	7.30536	0	[]
UW287	12.093035	7.30536	0	[]
UW288	12.259049000000001	7.30536	0	[]
UW289	12.425063	7.30536	0	[]
UW290	12.591078	7.30536	0	[]
UW291	12.757092	7.30536	0	[]
UW292	12.923106	7.30536	0	[]
UW293	13.08912	7.30536	0	[]
UW294	13.255135000000001	7.30536	0	[]
UW295	13.421149	7.30536	0	[]
UW296	13.587163	7.30536	0	[]
UW297	13.753176999999999	7.30536	0	[]
UW298	13.919192	7.30536	0	[]
UW299	14.085206	7.30536	0	[]
UW300	14.251220000000002	7.30536	0	[]
UW301	14.417235	7.30536	0	[]
UW302	14.583248999999999	7.30536	0	[]
UW303	14.749263000000001	7.30536	0	[]
UW304	14.915277	7.30536	0	[]
UW305	15.081292000000001	7.30536	0	[]
UW306	15.247306	7.30536	0	[]
UW307	15.41332	7.30536	0	[]
UW308	15.579335	7.30536	0	[]
UW309	15.745349	7.30536	0	[]
UW310	15.911363	7.30536	0	[]
UW311	16.077377	7.30536	0	[]
UW312	16.243392	7.30536	0	[]
UW313	16.409406	7.30536	0	[]
UW314	16.57542	7.30536	149	['2021-08-31' '2021-09-06']
UW315	7.767198	9.11036	106	['2021-02-04']
UW316	7.933967999999999	9.11036	125	['2021-03-05' '2021-03-06']
UW317	8.100739	9.11036	0	[]
UW318	8.267509	9.11036	0	[]
UW319	8.434280000000001	9.11036	0	[]
UW320	8.60105	9.11036	0	[]
UW321	8.767821000000001	9.11036	0	[]
UW322	8.934591000000001	9.11036	0	[]
UW323	9.101361	9.11036	0	[]
UW324	9.268132000000001	9.11036	0	[]
UW325	9.434902000000001	9.11036	0	[]
UW326	9.601673	9.11036	0	[]
UW327	9.768443	9.11036	0	[]
UW328	9.935214	9.11036	0	[]
UW329	10.101984	9.11036	0	[]
UW330	10.268755	9.11036	0	[]
UW331	10.435525	9.11036	0	[]
UW332	10.602295	9.11036	0	[]
UW333	10.769066	9.11036	0	[]
UW334	10.935836	9.11036	0	[]
UW335	11.102607	9.11036	0	[]
UW336	11.269377	9.11036	0	[]
UW337	11.436148	9.11036	0	[]
UW338	11.602917999999999	9.11036	0	[]
UW339	11.769689	9.11036	0	[]
UW340	11.936459	9.11036	0	[]
UW341	12.103228999999999	9.11036	0	[]
UW342	12.27	9.11036	0	[]
UW343	12.43677	9.11036	0	[]
UW344	12.603541	9.11036	0	[]
UW345	12.770311	9.11036	0	[]
UW346	12.937082	9.11036	0	[]
UW347	13.103852	9.11036	0	[]
UW348	13.270623	9.11036	0	[]
UW349	13.437393	9.11036	0	[]
UW350	13.604163	9.11036	0	[]
UW351	13.770934	9.11036	0	[]
UW352	13.937704	9.11036	0	[]
UW353	14.104475	9.11036	0	[]
UW354	14.271245	9.11036	0	[]
UW355	14.438016000000001	9.11036	0	[]
UW356	14.604785999999999	9.11036	0	[]
UW357	14.771556	9.11036	0	[]
UW358	14.938327	9.11036	0	[]
UW359	15.105097	9.11036	0	[]
UW360	15.271868	9.11036	0	[]
UW361	15.438638000000001	9.11036	0	[]
UW362	15.605409	9.11036	0	[]
UW363	15.772179000000001	9.11036	0	[]
UW364	15.93895	9.11036	0	[]
UW365	16.10572	9.11036	0	[]
UW366	16.272489999999998	9.11036	0	[]
UW367	16.439261	9.11036	197	['2021-09-07' '2021-09-08']
UW368	16.606031	9.11036	117	['2021-08-05']
UW369	7.705069	10.91536	110	['2020-12-19']
UW370	7.87277	10.91536	123	['2021-02-05']
UW371	8.040471	10.91536	120	['2021-03-07']
UW372	8.208171	10.91536	0	[]
UW373	8.375872	10.91536	0	[]
UW374	8.543573	10.91536	0	[]
UW375	8.711274000000001	10.91536	0	[]
UW376	8.878974000000001	10.91536	0	[]
UW377	9.046675	10.91536	0	[]
UW378	9.214376	10.91536	0	[]
UW379	9.382076	10.91536	0	[]
UW380	9.549777	10.91536	0	[]
UW381	9.717478	10.91536	0	[]
UW382	9.885178999999999	10.91536	0	[]
UW383	10.052878999999999	10.91536	0	[]
UW384	10.22058	10.91536	0	[]
UW385	10.388281	10.91536	0	[]
UW386	10.555981	10.91536	0	[]
UW387	10.723682	10.91536	0	[]
UW388	10.891383	10.91536	0	[]
UW389	11.059084	10.91536	0	[]
UW390	11.226784	10.91536	0	[]
UW391	11.394485000000001	10.91536	0	[]
UW392	11.562186	10.91536	0	[]
UW393	11.729886	10.91536	0	[]
UW394	11.897587	10.91536	0	[]
UW395	12.065288	10.91536	0	[]
UW396	12.232989	10.91536	0	[]
UW397	12.400689	10.91536	0	[]
UW398	12.568389999999999	10.91536	0	[]
UW399	12.736091	10.91536	0	[]
UW400	12.903791	10.91536	0	[]
UW401	13.071492	10.91536	0	[]
UW402	13.239192999999998	10.91536	0	[]
UW403	13.406893	10.91536	0	[]
UW404	13.574594	10.91536	0	[]
UW405	13.742295	10.91536	0	[]
UW406	13.909996	10.91536	0	[]
UW407	14.077696	10.91536	0	[]
UW408	14.245397	10.91536	0	[]
UW409	14.413098000000002	10.91536	0	[]
UW410	14.580798000000001	10.91536	0	[]
UW411	14.748498999999999	10.91536	0	[]
UW412	14.9162	10.91536	0	[]
UW413	15.083901000000001	10.91536	0	[]
UW414	15.251601	10.91536	0	[]
UW415	15.419301999999998	10.91536	0	[]
UW416	15.587003	10.91536	0	[]
UW417	15.754703	10.91536	0	[]
UW418	15.922404	10.91536	0	[]
UW419	16.090104999999998	10.91536	0	[]
UW420	16.257806	10.91536	0	[]
UW421	16.425506	10.91536	117	['2021-08-07']
UW422	16.593207	10.91536	173	['2021-07-14' '2021-07-29']
UW423	16.760907999999997	10.91536	104	['2021-06-04']
UW424	7.6938699999999995	12.720360000000001	228	['2020-12-08']
UW425	7.86268	12.720360000000001	133	['2021-01-15']
UW426	8.03149	12.720360000000001	114	['2021-02-12' '2021-03-04']
UW427	8.2003	12.720360000000001	0	[]
UW428	8.369110000000001	12.720360000000001	0	[]
UW429	8.53792	12.720360000000001	0	[]
UW430	8.70673	12.720360000000001	0	[]
UW431	8.875539999999999	12.720360000000001	0	[]
UW432	9.04435	12.720360000000001	0	[]
UW433	9.213159	12.720360000000001	0	[]
UW434	9.381969	12.720360000000001	0	[]
